product,rating,rating count,price,product url
Amazon Essentials Women's Lightweight Water-Resistant Hooded Puffer Coat (Available in Plus Size)  ,4.3 out of 5 stars,"13,473  ",45.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMP3DCT/ref=sr_1_24?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-24
Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket  ,4.5 out of 5 stars,"20,602  ",33.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BN3XQ22/ref=sr_1_25?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-25
Tommy Hilfiger Men's Hooded Puffer Jacket  ,4.6 out of 5 stars,"7,828  ",99.99,https://amazon.com/Tommy-Hilfiger-Classic-Hooded-Puffer/dp/B01L0B08B8/ref=sr_1_26?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-26
Amazon Essentials Boys and Toddlers' Heavy-Weight Hooded Puffer Jacket Coat  ,4.8 out of 5 stars,"5,292  ",36.0,https://amazon.com/Amazon-Essentials-Heavy-Weight-Hooded-Puffer/dp/B07PY4W2LX/ref=sr_1_27?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-27
"Mens Detachable Hood Heated Jackets, Washable Zip Winter Jackets Coat with 3 Heating Levels & 9 Heating Zones, No Battery  ",3.0 out of 5 stars,1  ,69.99,https://amazon.com/Detachable-Washable-Lightweight-Batteries-included/dp/B0B7QZT187/ref=sr_1_28?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-28
TACVASEN Women's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windproof Hooded Fleece Outdoor Jacket  ,4.3 out of 5 stars,8  ,61.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A04912752LO8B5SG3EMXC&url=%2FTACVASEN-Waterproof-Windproof-Windbreaker-Softshell%2Fdp%2FB0B8RPY69M%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-29-spons%26psc%3D1%26smid%3DA316SIRIW8TU6I&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
Fitouch York Women Long Down Coat Jacket | With Side Vents | 700 Fill Power  ,4.6 out of 5 stars,8  ,189.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08922812LB5VAHOO9AVN&url=%2FFitouch-Womens-Lightweight-Winter-Removable%2Fdp%2FB097SZ2SFN%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-30-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
Wantdo Women's Waterproof Ski Jacket Hooded Snow Coat Mountain Winter Parka Snowboarding Jackets  ,4.5 out of 5 stars,294  ,73.97,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0238488Y6V6ZNTQWNIM&url=%2FWantdo-Waterproof-Windproof-Outdoor-Windbreaker%2Fdp%2FB08PZ3C9CP%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-31-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
Wantdo Women's Mountain Waterproof Ski Jacket Windproof Rain Jacket Winter Warm Hooded Coat  ,4.6 out of 5 stars,"14,571  ",79.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A10256351JSUWNGGSAGDU&url=%2FWantdo-Mountain-Waterproof-Windproof-Blending%2Fdp%2FB07PHFS5FF%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-32-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
"Calvin Klein Men's Hooded Down Jacket, Quilted Coat, Sherpa Lined  ",4.5 out of 5 stars,52  ,76.72,https://amazon.com/Calvin-Klein-Lightweight-Packable-Removable/dp/B08ZNWPQVQ/ref=sr_1_33?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-33
